date,GOOGL,MSFT,FB,ORCL,INTC,CSCO,IBM,QCOM,TXN,AVGO,NVDA,ADBE,CRM,ADP,ITW,YHOO
20140714,0.012972,0.001188,0.023515,0.008971,0.00768,-0.003135,0.009894,-0.001005,-0.007507,0.011475,0.012599,0.00858,0.009592,0.002621,0.003376,0.007621
20140715,-0.002019,0.007356,-0.010825,0.001235,0.006986,0.009041,-0.007216,-0.001006,-0.005315,-0.008374,0.004147,-0.008095,-0.018089,0.0,0.001508,-0.002521
20140716,-0.004114,0.038398,0.00737,-0.006907,0.092715,0.012076,0.020532,0.002266,0.008015,0.003133,-0.001033,0.001245,0.003908,0.001992,-0.000348,-0.051109
20140717,-0.016593,0.010209,-0.018476,-0.008693,-0.027417,-0.013472,0.000676,-0.018965,-0.018349,-0.023761,-0.002584,-0.013678,-0.024282,-0.006708,-0.017963,-0.017165
20140718,0.04182,0.003593,0.030267,0.002255,0.0,0.010925,5.2e-05,0.016387,0.013915,0.043115,-0.04456,0.016249,0.016337,0.013382,0.005428,0.003613
20140721,-0.011023,0.003245,0.014325,0.00025,0.010683,-0.002316,-0.008571,0.003527,0.007169,0.0056,0.005965,-0.008132,-0.003364,-0.000617,0.003756,-0.0015
20140722,0.008572,-0.000111,-0.001873,0.010497,0.021436,0.003868,0.016977,0.023346,-0.001017,-0.000398,-0.004313,0.004169,0.005251,0.008644,0.00304,0.009615
20140723,0.002684,0.000892,0.029161,-0.002968,-0.008339,-0.010405,-0.00237,0.000859,-0.018831,-0.023345,-0.021115,-0.003045,0.0,0.001836,-0.002332,0.033036
20140724,-0.003602,-0.010475,0.05176,0.003969,-0.007246,0.005841,0.008315,-0.06652,-0.006951,-0.015211,0.001659,0.01048,0.008582,0.007332,-0.00222,0.042063
20140725,-0.008176,0.002252,0.002801,-0.003459,0.0,0.00542,-0.004302,-0.000945,-0.02173,-0.035719,-0.01767,-0.002404,0.015353,0.002184,-0.002693,-0.001382
20140728,0.001572,-0.01191,-0.003591,0.005455,-0.000584,-0.001925,0.007099,-0.003548,0.01132,0.008438,-0.003935,0.001102,-0.016214,-0.001453,-0.004815,-0.006091
20140729,-0.008464,-0.001933,-0.016151,0.001973,-0.001169,-0.008102,-0.00618,-0.006858,-0.012249,-0.008935,0.003386,-0.005915,0.01537,-0.007516,-0.014749,-0.006128
20140730,0.002509,-0.006984,0.013119,0.008122,0.00468,-0.003112,-0.00293,0.009693,0.009835,0.009016,0.016873,-0.005258,0.025898,0.00342,0.007066,0.025785
20140731,-0.026686,-0.009603,-0.027144,-0.013916,-0.013392,-0.015607,-0.01201,-0.03051,-0.02075,-0.016026,-0.03208,-0.036724,-0.035556,-0.010225,-0.020454,-0.021585
20140801,-0.010267,-0.006951,-0.003992,-0.019312,-0.004279,-0.009116,-0.013148,-0.015871,-0.000216,0.015278,0.010857,-0.004475,-0.014194,0.002829,-0.003764,-0.005306
20140804,0.015115,0.011899,0.015893,0.012371,0.009038,0.0066,0.002591,0.009786,0.003244,0.012777,-0.002261,-0.002466,0.026552,-0.004047,0.009383,0.025688
